idiot
loser
jerk
moron
fool
bastard
scum
trash
garbage
clown
pig
psycho
freak
creep
slave
coward
weirdo
dirtbag
monster
parasite
rat
snake
donkey
piglet
crybaby
thug
punk
brat
menace
troll
pest
zombie
cockroach
vermin
disgrace
disgraceful
scumbag
villain
moronhead
trashcan
abuser
backstabber
idiotface
dumbhead
nutcase
cowardice
degenerate
misfit
loserface
dirt
stupid
dumb
ugly
pathetic
worthless
useless
disgusting
nasty
insane
toxic
sick
lame
weak
filthy
hateful
cruel
evil
brainless
hopeless
mean
nasty minded
dirty
obnoxious
ridiculous
horrible
gross
nasty looking
despicable
lowly
bitter
arrogant
selfish
nasty tempered
horrible minded
ignorant
rotten
nasty spirited
cowardly
malicious
vile
nasty hearted
savage
twisted
nasty tongued
cruel hearted
hateful minded
shameful
wicked
kill
die
murder
hate
destroy
attack
hurt
violence
abuse
bully
rob
steal
threaten
poisonous
harmful
deadly
lethal
noxious
destructive
malignant
baneful
fuck
shit
damn
bomb
damage
maggot
bitch
slut
asshole
awful
shameless
imbecile
dunce
knucklehead
wretch
lunatic
repulsive
lousy
sleazy
ching chong
colono
nigger
